cons,inco,target,cons_SE,inco_SE,tar_SE
-0.0567405,-0.00890571,-0.036544,0.0177041,0.0176888,0.0242369
-0.173353,-0.108024,-0.144966,0.0247021,0.0246549,0.032904
-0.04922,0.0170995,-0.023771,0.0284325,0.0283736,0.0371742
0.356604,0.421706,0.35898,0.0304048,0.0303483,0.0393045
0.457886,0.481079,0.351993,0.0314299,0.0313868,0.0403502
0.199191,0.24304,0.058924,0.031865,0.0318401,0.0407848
-0.158525,-0.107213,-0.25336,0.0318961,0.0319294,0.0409052
-0.435499,-0.391407,-0.43969,0.0323258,0.0324087,0.0414119
-0.506972,-0.452627,-0.45679,0.0331625,0.0332128,0.0421878
-0.393315,-0.359544,-0.329821,0.0336903,0.0337048,0.0426525
